industry,graduate_number,employment_number,就业率
信息传输、软件和信息技术服务业,461497,415542,90.04218878995964
制造业,367540,336509,91.5571094302661
教育,328620,284855,86.6821861116183
文化、体育和娱乐业,317935,270635,85.12274521521694
建筑业,312169,288463,92.40603647383308
金融业,288517,254028,88.0461116675967
科学研究和技术服务业,287992,259589,90.13757326592405
公共管理、社会保障和社会组织,246866,213297,86.4019346528076
卫生和社会工作,165367,145355,87.89843197252173
农、林、牧、渔业,153090,131240,85.7273499248808
批发和零售业,121420,109893,90.50650634162412
其他,94026,86669,92.17556845978771
电力、热力、燃气及水生产和供应业,79902,73285,91.71860529148206
纺织服装、服饰业,29041,25683,88.43703729210426
水利、环境和公共设施管理业,28535,25356,88.85929560189241
房地产业,795,719,90.44025157232704
